comment,sentiment_label
was yours the cellular model or gps only?,2
"10% thinner, 10% lighter and 10% bigger. now i can upgrade my series 5.",2
just bought my first apple watch today.. 46 mm jet black series 10.    excited!!,1
what about battery time? does it last at least 2 days?,2
waiting on apple to stop it with the designer bands and start collaborating with cool case designers .,2
why is there no blood pressure monitor?,0
i think they are just selling the same item every year and you know it,2
i legit bought one because i have money and like to buy things.,1
i just got my first apple 10 watch last month. now i need to set it up. thanks for the informative review.,1
what size do you test?,2
"the last part is all i wanted to hear, coming from series 6 lol",1
this type of violence needs to be banned. people need to be nice to one another.,0
it looks kinda cool but i dont get why one would buy this unless they&#39;re super into fitness. i dont want another device reminding me of my emails and it looks so difficult to type using that watch. i prefer classic watches which dont add to the screen-fatigue,1
"i still have the series 3 lol, i just needed the gps for runs",1
should i upgrade from series 7 to series 10?,2
i just strap my 12.9&quot; ipad to my forearm.,2
"fine, fine, i&#39;ve never owned one so i am still excited for it",1
still confused why a watch with an 18 hour battery appeals to so many people.,0
honestly... what evolutional can a watch really have? what else can they really add to the watch?,2
battery life. not buying another apple watch while it needs charging every day. i charge my garmin once a week.,2
no battery life improvement = no interest.,1
"my last watch was a series 4, so due to upgrade and i love the series 10. <br><br>personally i think the shape is perfect, i don&#39;t really want anything about the design to change.",1
i dont wear watches,2
"have not found any reason to upgrade from s6. also, slimness is same for s6 and s10",2
"shit i&#39;m not surprised you have 20m followers. you are very pleasant to hear, even in the early morning. that&#39;s how yt can be rewarding being cool and that particular perspective made my day haha. grats and thx for the vid",1
"upgrading from series 3. so this is a big deal for me, lol.",1
i can always count on you for tech reviews. especially with apple.,2
what if one has never owned an apple watch? is ten a good place to start,1
"the average life span of an apple watch is 2 to 5 years. each new iteration costs more than the last. a wrist watch can last 20 years or more. a smart watch provides no value that we did not already derive from pre-existing tech. i am amazed at how the general public has welomed this tech with open arms. it shows how easily the general public are influenced in their consumerism. corporations have to invent new tech to keep you spending your money and this is simply why this tech exists and why each iteration will continue to be pumped out and keep the public locked on the upgrade hamster wheel. i hate smart watches. i detest everything about them and what they represent. it is  step closer to be fully integrated with the digital reality(which isn&#39;t reality). for those who have been conditioned to believe you need this tech, try and go a week without it on your wrist. can you do it? does the idea fill you with anxiety? if so, then you have been brainwashed to think you need it, that you cant live without it. go a step further. leave your phone at home just for a day, on a work day. see what happens.",1
how battery life ?,2
series 10 = larger display and still prone to scratches at this price point?,2
what is that bracelet with the numbers on it? where can i get one?,2
still sporting the series 6!,2
"i know its a long shot but i hope apple consider a large, like invicta size, round version. i would more likely get one. not a fan of the square shape.",1
i will not buy something to tell the time when i need to stress all the charging. apple and battery = bad,0
"dont be that guy , i will keep that in mind bro",2
your video not match exactly with your voice,2
that display is crazy bright!,1
i love my series 10 apple watch 46mm,1
eda mone,2
which color watch band is that? is that ink?,2
don&#39;t love the apple watch. it&#39;s mildly useful. but not a great sleep or fitness tracker.,1
"alright listen up. majority of people on this planet don&#39;t have the money or luxury to upgrade watches/phones etc. every single year. if you&#39;re someone who&#39;s wanting to get the series 10 after already owning a series 8 or 9 then you&#39;re either too spoilt or have too much money. this guy gets paid to make youtube videos and compare current model with previous model. you on the other hand can barely afford your mortgage repayments. don&#39;t get this watch if you&#39;ve already got a series 7-8-9. if you have a series 6 or prior, then get it. easy. simple.",1
"you know what would be cool, if apple came out with a round face version just saying if they did that i would then consider an upgrade otherwise no point really upgrading your apple watch !",1
@marques i still have the series 4 so do you think i should upgrade not just to the 10 but just do an upgrade?,2
"been rokcing the 8 for two years now, and i&#39;m sticking to it...",2
brot he water part got me,2
"i really adore watches.. i have always owned an apple watch. but i feel buyers remorse over my stainless steel version. comparing it to my automatic and even quartz watches, it doesn&#39;t have any significants, and the design has become very stale.",0
is that is very good apple 10 let me know this good or not because i buy new one on my way,1
"if you dont have a watch at all which one would you get? 8,9, or 10.",2
it&#39;s also <b>doesn&#39;t</b> have the blood oxygen sensing that my series 7 does. guess i&#39;m keeping this one lol.,1
this guy is so scared to be critical of apple products. waste reviews,0
"i am receiving notifications on my watch only if my cell phone is locked. if i am using my cell phone, the notification no longer arrives on the watch?",0
"i feel like the apple watch series 10 is not as high value of a product as the iphone. when you ask someone what watch are you using and they respond with apple watch, no one really asks any further questions. we already know it&#39;s the most popular watch on users wrists, especially the ones of  iphone users. you slap it on your rist and you go about your day.  the only people who care about the looks of the watch are the tech savvy individuals, the ones who are disproportionately outnumbered by the number of people who do not care, which is a lot. i picked up an apple watch series 10 because i was upgrading for my series 5. i&#39;m not upgrading for new features. i&#39;m upgrading because my apple watch series 5 broke. i don&#39;t even think that watch should&#39;ve been excluded from software updates. my mom had an apple watch series 7 and she upgraded to the series 10 as she wanted to treat herself. as a person who is very much in love with the apple ecosystem, i don&#39;t really care that much about the apple watch. i don&#39;t think most people care either. it&#39;s just a watch. it tells the time and does some other stuff as well. that&#39;s really all people need. and i think apple understands that. that&#39;s why they did not upgrade the apple watch drastically. they just made it thinner. they know most people really don&#39;t care what the apple watch looks like.",1
nothing like free products to give the viewers unbiased  reviews.,0
nuclear battery?,2
does this have skin temp detector,2
i ordered one of this after using series 5.,2
is that big numbers watch face part of the ios upgrade or can i get it on my current ultra s1 please marcus?,1
altenwerth neck,2
joanie glens,2
&quot;don&#39;t be that guy&quot; lol,1
nora stream,2
prosacco overpass,2
makenna oval,2
joany valleys,2
rogahn ridges,2
joan unions,2
marco garden,2
waelchi inlet,2
what phone he is using in the ad?,2
70929 johnson mall,2
randy centers,2
petra island,2
they need is facetime on the watches .!!,2
"great video, thanks!",1
blackiee,2
i&#39;d prefer to have a thicker watch if it meant longer battery life.  like the thinner ipad no one wanted.,1
"the novelty about this watch is like the one with new iphone each year. zero, nada, nothing, null.",1
do people actually wear their apple watches to sleep?,2
amely meadows,2
i get way more than 18hrs out of the small apple watch x. i get about 27.5hrs.,2
i&#39;d like to buy a $100 generic wallpaper for my phone.... is this the right place?,1
klein unions,2
it genuinely irks me that they haven&#39;t changed the watch to match the design of the iphones &amp; ipads. both of which have been on the flatter design for 4 years now. at least the ultra has a flat screen. i honestly don&#39;t understand why apple hasn&#39;t changed it.,1
watch vibes,2
"thanks for the review as always but what about the micro led display that everybody is talking about? it seems to be the next step for a better battery life,  screen resolution  and slimmer design",1
brian harbor,2
still have the series 3 and its still working just fine!,1
omer manor,2
no chaptering? how the heck can someone so big not chapter their video?,0
ramona common,2
"mkbsd let us listen to music on our watch, after spending $50 for my wallpapers i can&#39;t afford airpods anymore. let apple hook us up.",2
krajcik meadows,2
stephon prairie,2
bednar spurs,2
"marques, it sounds more like the review of a wrist computer that incidentally tells time.  apple can rebrand it as iwrist for free.",1
"that is just boring. the companys are not even trying anymore, still people keep buying warmed up upgrades. cant we start a movement to stop global production of unnecessary reused designes by big, wealthy firms and initiate new grounds for creativity? 10 million people who are openly not upgrading because of the lack of innovations, would be a good start.",1
make a recommendation for the apple watch to use smart glasses as a photo shoot,1
pat isle,2
caesar square,2
nicolas key,2
mavis lodge,2
"mkbhd is a corporate shill. the problem is that tech &quot;influencers&quot; can&#39;t seem to be able to chose between being actual journalists, with the ethics and quality standards that comes with it, and being entertainers that in the end don&#39;t want to potentially anger a big tech company. stop wasting your time watching his channel.",0
"marquees said in his iphone 16 review that you should never buy something based off the promise of future tech, yet when promoting his new wallpaper app panel he does exactly that. also in 2016 he posted on social media about how you should never charge someone something they use to get for free, yet his panel app is doing exactly that. so without a doubt marquees is a hypocritical, out of touch corporate shill.",1
"i am still using my aw 7, upgraded since the old one&#39;s battery was dead. but i don&#39;t find any reason to upgrade at all for the last couple of years.",0
what about blood oxygen sensor,2
the apple sheep will never see further than they are told to see....lol...there are much better watches out there,1
"there&#39;s not much they can do with the watch in terms of design - either square, rectangular, or circular. they can make it thinner...they could flatten the edge. the main thing they could do is add more tech to it. for me i wish it could work with other phones and not just iphone...it would be awesome if it could fully work on it&#39;s own and never need a phone. personally for me it&#39;s the apps - it just feels very weak still and there&#39;s not a lot of useful apps for the average person.<br>if they were to do a redesign though the risk is the bands... it&#39;s bad enough when they make minor adjustments to phones that then require a brand new case - imagine having to replace all your straps",0
"is it true that some features are gone in series 10, like blood pressure, ovulation estimate, etc?",1
amina summit,2
"eeeeeeey, 19.5 million subs. feels like we were at 10 barely4 years ago",1
"apple is making decisions really easy these days, i&#39;m getting the older generation...definitely.",1
"marq, what is the band that you are wearing with the apple watch?",2
it doesn&#39;t have the oxygen sensor that the 9 has.,2
what about someone who never owned an apple watch or a smart watch period ? how&#39;s this for folks like that ?,1
"<a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> versace bag is so cute",1
i went 7 to 10.  mostly because the battery was crapping out.,2
german crossing,2
casper harbors,2
do you have to put a screen protector on it? or a protector case over the watch screen?,2
"love your attitude about this bag and not caring about what people will say. <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> you are right keep your head up and no your priorities.",1
"<a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> i love you so much and watching your videos makes my day brighter",1
"apple watch series 10 is an incremental upgrade with a slightly thinner, lighter design and larger screen. new features include a redesigned speaker for media playback, improved display, water temperature sensor, and faster charging. the review suggests this design may persist for years.",1
koby square,2
vicky lodge,2
funk ville,2
"my mom bought one kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> and she loves it. it had been there for over 10 years when she went out with it.",1
jackson daniel anderson mark robinson michelle,2
bahringer viaduct,2
boring af same o&#39;le watch,0
"love your attitude about this bag and not caring about what people will say. <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> you are right keep your head up and no your priorities.",1
how much it cost is it worth for  first timer,1
do we really need an upgrade in app watches,2
schoen mountains,2
lowe meadows,1
skip this one if you want a series watch and get a 9 or 8. then pray apple does something interesting with the 11+.,1
"<a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> versace bag is so cute",1
i have an apple watch se and love it but really cannot see the justification for the massive price difference to the 10 or ultra for the &#39;average non health paranoid user&#39; (although i would say the same about the iphone 16 since they have failed miserably to deliver on apple intelligence),0
heidenreich avenue,2
review galaxy tab s10 ultra,2
too bad we wont get watch faces on panels,0
wintheiser ferry,2
parisian ville,2
"don&#39;t, don&#39;t  be that guy. :d",1
stop deleting comments,0
they need to improve the battery life. why have the sleep tracking software when you have to charge it every night?,1
is he using jet black or slate,2
funk canyon,2
"predictive future  design choices by a company aren&#39;t a step forward as a reviewer, there a guess at best..but as you&#39;ve got 19.5 million subscribers, i guess that&#39;s fine then.",1
imagine you can read a text message on a tiny screen instead of wasting one  second and pull your cellphone out and read the message properly.,0
"love your attitude about this bag and not caring about what people will say. <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> you are right keep your head up and no your priorities.",1
"i love <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> kislux <a href=""uckszu2wh9gy1mb0dv-11ujg/ciw60ipp_dycfcuqtgodeu4ilq""></a> that on the butterfly bag it says auguri / tanti auguri which means happy birthday",1
where can i get that plastic rubber bracelet,2
this will be my first apple watch..,2
why would anyone want a circular smartwatch. biggest weakness of all round watches is the shape :d,1
but really.. don&#39;t be that guy. lol,1
okuneva underpass,2
watches better not become like iphones every year just bigger,1
nothing new here same as last year,2
i&#39;ll never be able to hop on the apple watch because that battery life is so garbage,2
i am sticking to the s9,2
is it half price for the wallpapers since its a smaller screen on the watch?,2
would it be worth to upgrade to this if i have the apple watch ultra 1?,1
didn&#39;t samsung already did a rotating bezel and it was a fail? doesn&#39;t sound like a great feature,1
"is this watch worth the upgrade from series 6? partner wants one for his birthday, but his series 6 still works great. want honest feedback before i make the purchase.",1
where can you buy wallpaper for it ?,2
maybe we need a 25$ app for wallpapers for smartwatch,2
i was looking at an apple watch. verizon gave me $250 off an apple watch so i decided to go with the se 2. $1.50 a month for the watch. i&#39;ll take that.,2
hoppe skyway,2
ernser shoals,2
"&quot;i don&#39;t know if you can tell by looking at me, but i don&#39;t really spend too much time around deep water&quot;<br><br>i see what you did there.",2
"still using a series 2, battery life is still fine. but almost no apps support it anymore sadly. so been pondering to finally get an upgrade.",0
i think you mean &quot;1 hz instead of 0.1 hz&quot;... 10 hz is 10 times faster than 1 hz.,2
should i upgrade from my series 9?,2
"so if coming from series 4 40mm, would it be a good upgrade to the series 10 42mm? worried also 46mm might be too big.",1
"steve picked wrong guy, instead of the man of innovation, he picked the rainbow",0
damn im on series 4 and the newest one already 10?,0
which apple watch should i get for my first one?? i have an iphone 12 pro max,2
i love the 10 coming from the original ultra. love the double tap love the lightweight,1
"yeah everyone get an 8sleep that&#39;s how i found out my bf is cheating on me <a href=""uckszu2wh9gy1mb0dv-11ujg/ksify6lzfolm6akanydqag""></a>",0
how much of a difference is between that and a series 6,2
"marques, can u make a video reviewing all of the apple watches, since we finally reached 10 years of apple watch?",1
just upgraded to a series 10 from a 1st gen se...after 5 years i appreciate the built-up incremental changes. what really impresses me is the charging - 0-90% in 28 minutes!,1
faster charging is not a redesign lol,0
"i&#39;m a samsung girly. i have the s24 ultra. is this worth it??? i don&#39;t like the design of the galaxy watch, so im gravitating towards the this one.",1
ill buy one if the app signal is available on watchos,0
golden rule #1 of the internet: never try to charge for something that was already free.,1
8 sleep has horrible reviews ! you buy a bed for 5000 dollars but have to pay 500 dollar a month subscription ??,0
i got the watch 3. you think is time to upgrade?,2
davis circles,2
powlowski hills,2
what do the numbers on your bracelet mean bro?,2
corkery fort,2
can it detect ambient temperature?,2
garrett estates,2
"thanks for nothing, ti8m. let&#39;s hope tim cooke does not tell us.",1
medhurst skyway,2
mosciski turnpike,2
johnson donna davis mark perez scott,2
nobody seems to be saying this but this has to be the weakest september release of apple products. ever.,0
no attempt to reinvent the tyre has succeeded so far. apple know there&#39;s just much that can be changed in watches and phones and thus continue to give their thirsty customers sips of water. i have a 4 year old apple watch 6 which i&#39;ll continue to use for another year. it meets my needs.,1
"before apple gets serious by boosting the battery life, there will be no game changer.",2
which one should i buy: series 10 or ultra 2?,2
calista mountain,2
bro? what about ai! when is it coming to apple watch 10 or ultra!? make your research complete please,1
moore station,2
"if you want to watch a real review, watch cnets, this review is so lazy.",0
watsica falls,2
fda clearance or approval? for the sleep apnea detector. not barely the same thing,1
travis heights,2
smartwatches that have to be charged every day are stupidity. normal smartwatch can live without charging for 14-30 days.,0
bro the water joke had my dying hahaha!,1
nice aperture wristband!,1
i have a series 6 and i think its about time for an upgrade. should i get the series 10 or ultra 2 in black? im leaning more towards the ultra 2 because i dont like glossy finishes on the titanium because they scratch. but the new display i really really like. which one should i get,0
"i&#39;m totally ok with incremental changes. these watches last for ages, i know people with series 3 and they still run well. as many have already said, they will now grab the series 9 or 8 at a discount as a result of the latest release. will they notice a difference? mostly not. and the reason all this is important is because we really need people to buy less stuff. upgrading every year is a waste of money and resources. this series will cater to those that truly need all the latest features, or who are in the market for their first smartwatch, but for the rest of us, the thing on our wrist right now is probably enough.",1
"wait, so you couldn&#39;t play music from the apple watch before?",1
@mkbhd: on my series 9 i have 5 values displayed as well,1
ill just keep my se watch lol,2
i don&#39;t know if i can tell by looking at you but you don&#39;t look like you need deep water.... um. why would you not look like you like deep water? oh ohhhhhhh. not good.,1
don&#39;t be that guy haha love it,1
i have a series 8 is it worth upgrading?,1
judd row,2
langosh viaduct,2
does the lack of spo2 metering not concern you?   i for one want it and thus will stick with my series 8.,0
the best review you could ever do: and this feels like apple&#39;s big statement of &#39;this is the apple watch.&#39; take it or leave it.,1
mosciski flats,2
"i think the next big think, or important thing is still about the health sensors. more very important parameters like blood pressure and continuous monitoring. both thing is very important. so far apple just scratched the surface, barely helping the user. i hope in 10 years smart watches could monitor continuously (in every seconds) the blood pressure and the ecg too).",1
delores parks,2
hey speaks my language. i am so disappointed with apple. thinking about switching.,0
can we talk about how terribly well the skip ahead feature is implemented? google really hit the nail on the head with that one to fuck with creators,0
this is not a technical review!!,2
i&#39;m still hanging on series 3,2
judson parks,2
so if you were looking to upgrade out of iphone which one would you recommend,1
which one would you suggest the series 10 or ultra 2,2
where is your review of the pixel watch 3??,2
you could take your rubber band bracelet off when reviewing the watch since its about the watch. distracting,0
i thought apple was coming out with a men&#39;s watch for the series 10??,2
temperature detector is cool for outdoor pool,1
"hi marques, i&#39;m brazilian and a big fan of yours. i really wish you would create a channel in portuguese",1
is it worth swapping the 5 series?,1
not big upgrades but shamefully still the best selling watch in the world,1
series 7 here may be my last apple watch,2
battery life is still less than 1 day :),1
"i dont get why some people are upset. thats the technology that we have and its nearly impossible to fit more in that tiny space. garmin watches last way more cause (1) they&#39;re bigger (2) they&#39;re not nearly as capable as the watch in most aspects and (3) they&#39;re specifically designed to last a long time since people who use them buys them to do sport. the apple watch is like a mini phone with health and sport features. the battery is not bad considering the amount of things it can do, at the speed it does them and given the battery capacity. at this point, the only thing i need from the watch is a 7 day week battery and i don&#39;t think we&#39;re seeing that until like 2040 or 2050 when a new battery technology is released (if its ever released lol)",1
y no ai in apple watch series 10. i was hoping for that. i think i will wait for series 11.,1
lewis robert davis sandra hall jessica,2
this is the apple watch of all time. meh.,0
"i feel that what&#39;s letf of apple, is just the name the brand has made...",2
"honestly, nothing new about this makes me wanna upgrade. the fast charging on the s9 is sufficient for my needs.",1
what kind of wristband you wearing??,2
so does that mean the watch 10 screen is better than the ultra 2 screen?,1
don&#39;t be that guy lol please don&#39;t.,1
i got it because rose gold finally came back.,2
unsubscribe,2
onie springs,2
please mkbhd use your platform to shine light on gaza. please. all tech channels are gradually covering it. please help the people of gaza. they need you.,1
i still running s4 :(,0
out of 8 minutes video 2 minutes are for an ad. really i think marquees spend more time on the review than apple spent on thinking of the upgrade.,2
the battery life on all apple watch models is truly hilarious.,1
"man, i just need to know where you get those straps from? need to see if its available for the series 7",2
it&#39;s a big upgrade compared to my old a$$ fit bit.,1
"for some reason, while viewing at a distance, it feels like a cheaply made third-party copy of the real apple smartwatch",1
"wild swimming in scotland in both lochs and the sea, it would actually be really quite interesting to see the different temperatures between them :d",1
he wants to say...but he won&#39;t,2
thinnest apple watch ever?!,2
what&#39;s the difference on the serie 8 vs 9 vs 10 in regard od siri and on device possibilities  ??,2
"disappointed  !<br>i don&#39;t care a out always tinner ans lighter,  give us much much much more battery  !,,!",1
"130 hrv? i got like 20, am i dying?",1
i love my series 10! was upgraded from series 4. it&#39;s amazing,1
fabulous review. i was actually looking to buy this but now will go with 9 series.,1
"still got series 3, stop wasting your money",0
9448 nienow turnpike,2
i have an apple watch series 3. struggling to choose between a cheaper series 9 or a newer series 10.,0
apple definitely keeps an eye on these reviews so they know everyone was expecting a redesign of the series 10. they will probably do that for the series 11.,1
"thanks for critical review! apple really needs to step up their innovation. they&#39;re just sucking money on fan base without any serious, innovation that&#39;s all.",1
"mkbhd reviews are becoming more and more useless. never speaking about the big minuses, he knows where the views/money come from. if someone wants an honest review, go watch techtablets.",2
my series 7 still works good...im on the fence if i should upgrade...i might do it just cause you said i should though,2
the speaker and the screen/larger screen size is significant. really liking mine so far.,1
so are they thinking out of the box for the future? like off the wrist? or more sci-fi? if this is the redesign.,1
"i upgraded from my 9 only because best buy gave me $300 in trade in. otherwise, yeah.",1
"i came from a series 6, and it&#39;s a big upgrade for me, but other people wouldn&#39;t notice it as much. but i&#39;m happy, knowing i have the current latest version :-)",1
"i just feel that this apple watch is similar to the iphone 7 launch: refined past design, the same special color and this is the device launched 10 years after the first iteration. iphone x was launched almost 11 years after iphone 2g.",1
what did you expect? a triangle shape watch? don&#39;t understand this desire to fix something that works.,1
"i&#39;m curious how it measures my sleep apnea, which is in the moderate level.",1
"i pre ordered my apple watch series 10, arriving on the 23rd of september, excited for my silver with pure platinum nike watch band!",1
apple watch needs a longer battery lifetime.. not faster charging!,2
terpaling apple watch.,2
anything happening with the sleep tracking app being able to record afternoon naps?  i thought that was getting added.,2
anderson melissa johnson edward miller helen,2
"i&#39;m coming from a series 6, so it&#39;s gonna be a big one for me.",2
first time getting the aluminum apple watch just because of the beautiful black color! skipping the iphone 16 sticking with iphone 15 pro max 1 tb.,1
should i upgrade my series 5 to this one?,2
apple fans got played again this year. brainwashed marketing is crazy. good thing review king is a realist,1
"bro., how about apple watch ultra 2 black titanium?",2
what about battery life ?,2
is it scratch resistant or just like jetblack iphone 7?,1
watching it on my s9,2
i just realised you&#39;ve still not done a review of the whoop..,2
good to know that &quot;this guys&quot; exists all over the world ffs,0
does the alway on second hands works on the ultra 2?,2
"apple, keep pushing these redesigned incremental updates, so i can afford the previous series",2
"so now, aw 10 or aw ultra 2?",2
i&#39;m still on my series 4 that has not skipped a beat. 6 years is a really awesome time for a smart watch imo that has not slowed down at all. i wil lhowever be looking into updating this year mostly due to all the new sensors introduced since series 5 - 10.,1
apple copied extra line of text from google&#39;s recent pixel watch 3,2
pov : next apple watch have a tracking  pad(camera controls iphone 16),2
technology is at the point where you can&#39;t have huge changes every year in phone/watches/earphones anymore. <br>so the companies are riding that ai wave and it&#39;s very sad that ai is becoming everyone&#39;s focus instead of polishing previous mistakes in their devices.,0
hi. is it worth it upgrading to s10 from se2?,1
the thing about the apple watch is that they got it perfect pretty much the first time.. the only thing they&#39;re doing is fitting better/faster shit in the thing better..,1
i just want a more circular apple watch design man,1
how do you have it already?,2
"what a shame that apple watches series  6-7-8  have blood oxygen monitor and in the 9-10 and ultra series no... why?<a href=""uckszu2wh9gy1mb0dv-11ujg/2sify8vig8z96alulydqdq""></a>",0
is a screen protector recommended?,1
what is the significance of your wrist band with the numbers on it? i know something to do with tech right?,1
i like the watch for its fitness benefits. but i also dislike having to wear a flat screen on my wrist already. now the size increases are making it worse.,0
picking mine up on saturday,2
apple was very lazy in these updates on the watch n iphone. no innovation in years. tim cook needs to step down since he is all about profits and now cant even do that since apple stock is dropping.,1
don&#39;t be that guy,2
bottom line:<br>stick with whatever apple watch/iphone you are currently using.,2
what kind of features/improvements would you like to see on the apple watch,1
looks like not much has changed since my series 6.,1
"thanks for the vid! sadly hoped for a design change this year, yikes",1
i&#39;m not watching this. can someone reply to this and let me know if i can watch tiktoks and youtube poops on this? if not i&#39;m not getting it.,2
"the apple watch s13 will have same design but smaller bezels than the s10. literally any apple watch you buy now is going to be good unless they whip out bac reading, heart rate monitor, multiple days of battery life",1
even if i have it for free i don wear it,1
"so after masimo successfully won an injuction against apple activating the blood oxygen sensor in series 9 watches, and its ceo said he&#39;s open to a licensing deal if apple ever reaches out, i assumed apple had an alternative solution up its sleeves. that either it had a novel way to gauge blood oxygen without violating masimo&#39;s ip, or that it was finally willing to work out a licensing deal for series 10.<br><br>instead, no word on fate of that sensor in series 10? do we just assume it&#39;s gone and this new apple watch introduces no new sensors?",1
apple didn&#39;t use anything different really . looks like apple hit a wall,1
love the new s9 sip lol,1
"yea, it&#39;s a bit underwhelming but i&#39;m still rocking the aw5 so i&#39;ll be upgrading to the 10.",2
not enough to upgrade from my series 7,2
buy one phone. use it for a decade.period,2
the ultra 2 can plss as t music from the speakers too with the update,2
